"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Note"
"Flemish Online Teenage Talk";"http://www.clips.ua.ac.be/category/projects/flemish-online-teenage-talk";"Dutch";"2.9 million tokens";"tokenised";;"This corpus contains Facebook posts and WhatsApp messages from 2015 and 2016.";"Computer-mediated communication corpora";;;"https://www.zotero.org/groups/562080/clarin/items/5JLSM7PZ";
"eBay petites annonces";"https://www.uni-potsdam.de/langage/la-bank/ebay.php";"French";"100,000 tokens";"<a href=""https://www.uni-potsdam.de/langage/la-bank/ebay.php"">see here</a>";"CC BY-NC-SA 4.0";"This corpus contains eBay listings from 2005, 2017, and 2018. The corpus is manually annotated.#SEPThe corpus is available for download from a dedicated webpage.";"Computer-mediated communication corpora";"Download";"https://www.uni-potsdam.de/langage/la-bank/ebay.php";"https://www.zotero.org/groups/562080/clarin/items/9BSXEJKU";
"Dereko – News and Wikipedia subcorpus";"https://cosmas2.ids-mannheim.de/cosmas2-web/";"German";"670 million tokens";"tokenised";;"This corpus contains content from newsgroup posts and Wikipedia.#SEPThe corpus is available through a dedicated concordancer.";"Computer-mediated communication corpora";"Concordancer";"http://www.ids-mannheim.de/cosmas2/web-app/browser/";;
"DWDS – Blogs";"https://www.dwds.de/r#group-Spezialkorpora";"German";"102 million tokens";"tokenised";;"This corpus contains blog posts.#SEPThe corpus is available through a dedicated concordancer.";"Computer-mediated communication corpora";"Concordancer";"http://www.dwds.de/r#group-Spezialkorpora";;
"Monitor corpus of tweets from Austrian users";"https://hal.archives-ouvertes.fr/hal-01323274/document";"German, English";"40 million tweets";"tokenised, lemmatised";;"The corpus contains tweets from 2007 to 2017.";"Computer-mediated communication corpora";;;"https://www.zotero.org/groups/562080/clarin/items/NI49XITA";
"FORUMAS_INDV corpus";"http://dangus.vdu.lt/~jkd/eng/?page_id=16";"Lithuanian";"600,000 tokens";"tokenised";;"The corpus contains forum posts from the lyrtas.lt portal from 2014.#SEPThe corpus is available for download from a dedicated webpage.";"Computer-mediated communication corpora";"Download";"http://dangus.vdu.lt/~jkd/wp-content/uploads/2015/04/FORUMAS_INDV.7z";"https://www.zotero.org/groups/562080/clarin/items/MZ3QMUBV";
"INT_KOMENTARI_INDV2 corpus";"http://dangus.vdu.lt/~jkd/eng/?page_id=16";"Lithuanian";"4 million tokens";"tokenised";;"This corpus contains comments from the delfi.lt portal from 2015.#SEPThe corpus is available for download from a dedicated webpage.";"Computer-mediated communication corpora";"Download";"http://dangus.vdu.lt/~jkd/wp-content/uploads/2015/04/INT_KOMENTARAI_INDV2.7z";"https://www.zotero.org/groups/562080/clarin/items/MZ3QMUBV";
"Corpus of Highly Emotive Internet Discussions";"https://www.researchgate.net/publication/311674809_Political_Discourse_in_Polish_Internet-Corpus_of_Highly_Emotive_Internet_Discussions";"Polish";"160 milllion tokens";"tokenised";;"The corpus contains tweets.";"Computer-mediated communication corpora";;;"https://www.zotero.org/groups/562080/clarin/items/LIQ3ZXRK";"For access, contact the <a href=""mailto:antoni.sobkowicz@opi.org.pl"">authors.</a>"
"sms4science";"http://sms4science.ch/Main/WebHome";"Swiss German, German, French, Italian, Romansh";"0.5 million tokens";"tokenised, PoS-tagged, lemmatised";;"This corpus contains around 25000 SMS from 2009.#SEPThe corpus comes in two different versions which are available through separate concordancers - <em>SMS Navigator</em> and <em>ANNIS</em>. The version accessible through <em>ANNIS</em> is more richly annotated and includes PoS-tagging, normalization, annotation of nonce borrowings, etc. Access through the concordancers requires free registration.";"Computer-mediated communication corpora";"Concordancer";"https://sms.linguistik.uzh.ch/SMS4science/TwoCorpora#Access_to_the_corpora";"https://www.zotero.org/groups/562080/clarin/items/8VETQ7HF";
"What's up, Switzerland?";"http://cmc-corpora.ch/";"Swiss German, German, French, Italian, Romansh";"5 million tokens";;;"This corpus contains 216 WhatsApp chats from 2014.#SEPThe corpus is accessible online through the ANNIS system.";"Computer-mediated communication corpora";"Browse";"http://linguistik-sms.uzh.ch:8080/annis-gui/";"https://www.zotero.org/groups/562080/clarin/items/RR6K9CIX";
"The Corpus of Welsh Language Tweets";"http://techiaith.cymru/corpora/twitter/?lang=en";"Welsh";"7 million tokens";"tokenised";"unclear";"The corpus contains tweets.#SEPThe corpus is available for download from a dedicated webpage.";"Computer-mediated communication corpora";"Download";"http://techiaith.cymru/data/corpora/twitter/?lang=en";;
