"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"MULTEXT-East ""1984"" annotated corpus 4.0";"http://hdl.handle.net/11356/1043";"80,000 sentences, 1 million words";"morphosyntactic tagging, lemmatisation, sentence alignment";"CC BY-NC-SA 4.0";;"Bulgarian, Czech, English, Estonian, Hungarian, Macedonian, Persian, Polish, Romanian, Serbian, Slovak, Slovenian";"This corpus contains 11 human translations of George Orwell’s <em>Nineteen Eighty-Four</em>, as well as the original text. The corpus is morphosyntactically tagged following the <a href=""http://nl.ijs.si/ME/V4/msd/html/index.html"">MULTEXT-East Version 4 tagset</a>.#SEPThe corpus is available for download from the CLARIN.SI repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11356/1043";"Erjavec (2012)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#Erjavec%202012";
"The Morphologically Annotated Part of BulTreeBank";"http://hdl.handle.net/11495/D93F-C6E9-65D9-2";"214,000 tokens";"morphosyntactic tagging";"MS-NC-NoReD";;"Bulgarian";"This corpus is available for download through the concordancer <em>Corpuscle</em>.";"Manually annotated corpora";"Concordancer";"https://hdl.handle.net/11495/D93F-C6E9-65D9-2";;;
"Croatian Twitter training corpus ReLDI-NormTagNER-hr 2.0 ";"http://hdl.handle.net/11356/1170";"89,000 tokens";"tokenisation, sentence segmentation, word normalisation, morphosyntactic tagging, lemmatisation and Named Entity recognition";"CC BY 4.0";;"Croatian";"This corpus contains Tweets. The corpus is morphosyntactically tagged following the <a href=""http://nl.ijs.si/ME/V4/msd/html/index.html"">MULTEXT-East Version 4 tagset</a>.#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.";"Manually annotated corpora";"KonText#SEPnoSketch#SEPDownload";"https://www.clarin.si/kontext/first_form?corpname=reldi_hr#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=reldi_hr&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1043";"Miličević and Ljubešić (2016)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#milicevic";
"BNC Sampler";"http://hdl.handle.net/20.500.12024/2551";"2 million tokens";"PoS tagging";"BNC Licence";;"English";"The corpus was manually post-edited to correct the PoS tags automatically assigned by CLAWS.#SEPThe corpus is available for online querying via CQPWeb (registration required) for download from the Oxford Text Archive";"Manually annotated corpora";"Concordancer#SEPDownload";"https://cqpweb.lancs.ac.uk/bncsampler/#SEPhttp://hdl.handle.net/20.500.12024/2551";;;
"Corpus of morphologically disambiguated Estonian texts";"http://doi.org/10.15155/1-00-0000-0000-0000-00085L";"513,000 tokens";"morphological disambiguation";"CLARIN_ACA-NC";;"Estonian";"This corpus contains texts from the 1980s subcorpus of the <a href=""https://www.cl.ut.ee/korpused/baaskorpus"">Corpus of Written Estonian 1890-1990</a>.";"Manually annotated corpora";"Download";"http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00085L";;;
"Austrian Baroque Corpus";"https://acdh.oeaw.ac.at/abacus/";"200,000 tokens";"tokenised, PoS-tagged, lemmatised, named entities";;;"German";"This historical corpus contains sermons from 1650 to 1750. For linguistic annotation, each individual token was automatically assigned to a morphosyntactic word class using the <a href=""https://www.cis.uni-muenchen.de/~schmid/tools/TreeTagger/"">TreeTagger</a> software. As a classification system, the 54-part Stuttgart-Tübingen TagSet (<a href=""https://homepage.ruhr-uni-bochum.de/Stephen.Berman/Korpuslinguistik/Tagsets-STTS.html"">STTS</a>) was used. For lemmatization , a normalized basic word form was used for each token and the <a href=""http://www.duden.de/"">Duden</a> and the <a href=""http://www.dwb.uni-trier.de/"">German dictionary by Jacob and Wilhelm Grimm</a> were used as reference works. The part-of-speech tagging and lemmatization was then manually checked.#SEPThe corpus is available through a dedicated concordancer.";"Manually annotated corpora";"Concordancer";"https://acdh.oeaw.ac.at/abacus/corpus.html";"Resch et al (2016)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#Resch%20et%20al.%202016";
"xLiMe Twitter Corpus XTC 1.0.1";"http://hdl.handle.net/11356/1078";"364,000 tokens";"PoS tagging, Named Entity recognition, sentiment analysis";"MIT License";;"German, Italian, Spanish";"This corpus contains Tweets.#SEPThe corpus is available for download from the CLARIN.SI repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/11356/1078";"Rei et al. (2016)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#Rei%20et%20al.";
"Szeged Corpus 2.0";"http://hdl.handle.net/11372/LRT-347";"1.5 million tokens";"morphosyntactic tagging";"<a href=""http://www.inf.u-szeged.hu/projectdirs/hlt/en/Sz.K.%201.0_licenc-en.doc"">Licence agreement</a>";;"Hungarian";"This corpus is available for download from a dedicated webpage.#SEPTo download the versions of the Szeged Corpus and Szeged Treebank, you are obliged to fill and send a Licence Agreement.";"Manually annotated corpora";"Download";"http://www.inf.u-szeged.hu/projectdirs/hlt/index_en.html";;;
"Lithuanian morphologically annotated corpus - MATAS";"http://hdl.handle.net/20.500.11821/9";"1.6 million words";"morphosyntactic tagging";"CLARIN ACA";;"Lithuanian";"The corpus contains texts from various domains (documents, fiction, periodicals, scientific texts, wordforms).#SEPThis corpus is available for download from the CLARIN-LT repository.";"Manually annotated corpora";"Download";"http://hdl.handle.net/20.500.11821/9";;;
"NKJP1M";"http://clip.ipipan.waw.pl/NationalCorpusOfPolish";"1 million tokens";"morphosyntactic tagging";"GNU GPL 3";;"Polish";"This corpus is a manually annotated subset of the National Corpus of Polish.#SEPThe corpus is available for download from the Computational Linguistics in Poland website.";"Manually annotated corpora";"Download";"http://clip.ipipan.waw.pl/NationalCorpusOfPolish";"Przepiórkowski and Murzynowski (2011)";"https://www.clarin.eu/resource-families/manually-annotated-corpora#przepiorkowski";
